id,hive,internal,external,board,operational,panel,cell,weight,latitude,longitude,altitude,temperature,pressure,humidity,rain_level,wind_direction,wind_speed,wind_speed_mean,wind_speed_max,wind_direction_at_max_speed,flow,date,temperature_C,lat_lon
96,AAA00353656109378739,3349,2306,2506,0,11858,4128,84898,457274,97125,347,1873,9808,62,0,0,28,16,36,0,100,1/6/22 23.58,19,"45.7275, 9.7127"
97,AAA00353656109378739,3353,2300,2512,0,11989,4115,84864,457274,97125,347,1895,9807,62,0,292,15,17,26,0,66,2/6/22 0.13,19,"45.7275, 9.7127"
98,AAA00353656109378739,3359,2287,2462,0,11858,4128,84864,457274,97125,347,1911,9806,62,0,0,5,11,22,0,37,2/6/22 0.28,19,"45.7275, 9.7127"
99,AAA00353656109378739,3346,2268,2443,0,11924,4128,84864,457274,97125,347,1914,9808,62,0,0,3,14,26,0,34,2/6/22 0.44,19,"45.7275, 9.7127"
100,AAA00353656109378739,3354,2256,2450,0,11924,4128,84829,457274,97125,347,1916,9808,62,0,0,15,14,20,0,45,2/6/22 0.59,19,"45.7275, 9.7127"
101,AAA00353656109378739,3332,2237,2425,0,11858,4128,84829,457274,97125,347,1874,9808,62,0,0,10,8,20,0,30,2/6/22 1.14,19,"45.7275, 9.7127"
102,AAA00353656109378739,3390,2231,2406,0,11858,4128,84829,457274,97125,347,1864,9807,63,0,0,28,18,29,0,30,2/6/22 1.29,19,"45.7275, 9.7127"
103,AAA00353656109378739,3390,2218,2393,0,11858,4128,84829,457274,97125,347,1882,9806,63,0,292,8,17,30,0,48,2/6/22 1.44,19,"45.7275, 9.7127"
104,AAA00353656109378739,3391,2206,2400,0,11924,4149,84794,457274,97125,347,1862,9806,63,0,22,24,18,25,0,41,2/6/22 1.59,19,"45.7275, 9.7127"
105,AAA00353656109378739,3330,2193,2375,0,11924,4149,84829,457274,97125,347,1847,9807,63,0,0,10,16,26,0,62,2/6/22 2.14,18,"45.7275, 9.7127"
106,AAA00353656109378739,3329,2175,2356,0,11924,4128,84760,457274,97125,347,1816,9806,64,0,292,27,22,33,0,53,2/6/22 2.29,18,"45.7275, 9.7127"
107,AAA00353656109378739,3379,2162,2343,0,11858,4122,84829,457274,97125,347,1818,9806,64,0,292,33,25,34,0,34,2/6/22 2.45,18,"45.7275, 9.7127"
108,AAA00353656109378739,3345,2162,2356,0,11924,4128,84829,457274,97125,347,1826,9805,64,0,0,46,32,46,0,10,2/6/22 3.00,18,"45.7275, 9.7127"
109,AAA00353656109378739,3327,2156,2331,0,11858,4128,84829,457274,97125,347,1813,9806,64,0,0,0,16,26,0,21,2/6/22 3.15,18,"45.7275, 9.7127"
110,AAA00353656109378739,3347,2131,2318,0,11858,4149,84760,457274,97125,347,1770,9806,65,0,292,20,14,29,0,21,2/6/22 3.30,18,"45.7275, 9.7127"
111,AAA00353656109378739,3332,2125,2312,0,11924,4128,84760,457274,97125,347,1740,9808,65,0,337,36,22,39,0,7,2/6/22 3.45,17,"45.7275, 9.7127"
112,AAA00353656109378739,3338,2118,2318,0,11924,4135,84794,457276,97127,310,1714,9809,66,0,292,10,17,31,0,3,2/6/22 4.00,17,"45.7275, 9.7127"
113,AAA00353656109378739,3323,2112,2343,0,11924,4122,84794,457276,97127,310,1696,9809,66,0,0,20,21,31,0,2,2/6/22 4.15,17,"45.7275, 9.7127"
114,AAA00353656109378739,3315,2093,2287,0,11924,4128,84691,457276,97127,310,1671,9809,67,0,0,26,17,28,0,3,2/6/22 4.30,17,"45.7275, 9.7127"
115,AAA00353656109378739,3341,2081,2268,0,11858,4149,84725,457276,97127,310,1665,9809,68,0,337,20,25,34,0,3,2/6/22 4.45,17,"45.7275, 9.7127"
116,AAA00353656109378739,3320,2075,2268,0,11924,4128,84656,457276,97127,310,1665,9810,68,0,337,16,22,32,0,8,2/6/22 5.00,17,"45.7275, 9.7127"
117,AAA00353656109378739,3303,2043,2243,0,11924,4135,84691,457276,97127,310,1676,9811,68,0,292,21,20,32,0,6,2/6/22 5.16,17,"45.7275, 9.7127"
118,AAA00353656109378739,3346,2031,2225,0,11924,4128,84656,457276,97127,310,1691,9810,68,0,0,34,23,34,0,8,2/6/22 5.31,17,"45.7275, 9.7127"
119,AAA00353656109378739,3328,2025,2212,0,11858,4142,84725,457276,97127,310,1701,9810,68,0,0,22,25,42,0,3,2/6/22 5.46,17,"45.7275, 9.7127"
120,AAA00353656109378739,3329,2018,2218,0,11858,4122,84794,457276,97127,310,1695,9813,68,0,0,30,20,38,0,6,2/6/22 6.01,17,"45.7275, 9.7127"
121,AAA00353656109378739,3337,2018,2200,0,11858,4142,84864,457276,97127,310,1693,9814,68,0,292,44,29,44,292,6,2/6/22 6.16,17,"45.7275, 9.7127"
122,AAA00353656109378739,3324,2006,2187,0,11924,4128,84898,457276,97127,310,1708,9814,68,0,0,6,22,42,0,10,2/6/22 6.31,17,"45.7275, 9.7127"
123,AAA00353656109378739,3329,2006,2181,0,11924,4122,84864,457276,97127,310,1720,9813,68,0,22,6,14,26,0,7,2/6/22 6.46,17,"45.7275, 9.7127"
124,AAA00353656109378739,3329,1987,2187,0,11924,4128,84898,457276,97127,310,1812,9812,68,0,67,17,22,47,0,3,2/6/22 7.01,18,"45.7275, 9.7127"
125,AAA00353656109378739,3317,1993,2175,0,11924,4135,84829,457276,97127,310,1839,9814,67,0,0,2,11,25,0,9,2/6/22 7.16,18,"45.7275, 9.7127"
126,AAA00353656109378739,3314,2006,2175,0,11924,4135,84691,457276,97127,310,1923,9815,66,0,0,12,18,34,0,4,2/6/22 7.32,19,"45.7275, 9.7127"
127,AAA00353656109378739,3306,2018,2181,0,11924,4122,84760,457276,97127,310,1997,9816,65,0,0,42,20,42,0,7,2/6/22 7.47,20,"45.7275, 9.7127"
128,AAA00353656109378739,3341,2031,2206,0,11924,4142,84656,457275,97128,301,2078,9816,63,0,292,0,9,36,0,4,2/6/22 8.02,21,"45.7275, 9.7127"
129,AAA00353656109378739,3347,2043,2268,0,11924,4122,84622,457275,97128,301,2087,9817,62,0,292,33,20,33,292,12,2/6/22 8.17,21,"45.7275, 9.7127"
130,AAA00353656109378739,3358,2062,2231,0,11858,4128,84622,457275,97128,301,2119,9818,61,0,0,44,23,44,0,6,2/6/22 8.32,21,"45.7275, 9.7127"
131,AAA00353656109378739,3332,2075,2237,0,11858,4128,84553,457275,97128,301,2216,9820,61,0,0,8,16,22,0,7,2/6/22 8.47,22,"45.7275, 9.7127"
132,AAA00353656109378739,3333,2100,2275,0,11858,4128,84483,457275,97128,301,2348,9822,59,0,0,0,2,7,0,6,2/6/22 9.02,23,"45.7275, 9.7127"
133,AAA00353656109378739,3343,2112,2281,0,11924,4128,84345,457275,97128,301,2346,9823,58,0,0,10,9,32,0,5,2/6/22 9.17,23,"45.7275, 9.7127"
134,AAA00353656109378739,3343,2137,2300,0,11924,4122,84311,457275,97128,301,2490,9824,56,0,0,0,7,25,0,3,2/6/22 9.32,25,"45.7275, 9.7127"
135,AAA00353656109378739,3326,2156,2318,0,11924,4115,84207,457275,97128,301,2698,9825,55,0,292,10,9,24,0,5,2/6/22 9.47,27,"45.7275, 9.7127"
136,AAA00353656109378739,3330,2187,2362,0,11924,4128,84034,457275,97128,301,2925,9825,52,0,247,10,7,27,0,9,2/6/22 10.03,29,"45.7275, 9.7127"
137,AAA00353656109378739,3326,2218,2375,0,11924,4149,83896,457275,97128,301,2965,9825,49,0,247,3,7,18,0,8,2/6/22 10.18,30,"45.7275, 9.7127"
138,AAA00353656109378739,3327,2256,2412,0,11924,4122,84069,457275,97128,301,3146,9825,47,0,22,0,6,22,0,7,2/6/22 10.33,31,"45.7275, 9.7127"
139,AAA00353656109378739,3339,2300,2450,0,11858,4142,84000,457275,97128,301,3165,9825,45,0,135,3,8,13,0,8,2/6/22 10.48,32,"45.7275, 9.7127"
140,AAA00353656109378739,3334,2343,2506,0,11858,4128,83965,457275,97128,301,3212,9826,44,0,202,10,25,75,0,7,2/6/22 11.03,32,"45.7275, 9.7127"
141,AAA00353656109378739,3327,2381,2531,0,11858,4122,84000,457275,97128,301,3198,9827,42,0,135,44,28,48,0,10,2/6/22 11.18,32,"45.7275, 9.7127"
142,AAA00353656109378739,3336,2412,2562,0,11858,4135,83965,457275,97128,301,3230,9830,43,0,202,0,7,24,0,15,2/6/22 11.33,32,"45.7275, 9.7127"
143,AAA00353656109378739,3359,2450,2600,0,11924,4128,83931,457275,97128,301,3373,9828,41,0,22,51,26,60,0,12,2/6/22 11.48,34,"45.7275, 9.7127"
144,AAA00353656109378739,3361,2487,2643,0,11858,4115,83896,457275,97127,299,3443,9826,40,0,0,66,30,66,0,26,2/6/22 12.04,34,"45.7275, 9.7127"
145,AAA00353656109378739,3338,2518,2725,0,11989,4115,83896,457275,97127,299,3465,9821,40,0,202,52,21,52,202,23,2/6/22 12.19,35,"45.7275, 9.7127"
146,AAA00353656109378739,3362,2550,2706,0,11858,4128,83896,457275,97127,299,3597,9820,38,0,22,4,17,38,0,31,2/6/22 12.34,36,"45.7275, 9.7127"
147,AAA00353656109378739,3356,2581,2731,0,11924,4128,83931,457275,97127,299,3601,9820,37,0,202,4,21,30,0,54,2/6/22 12.49,36,"45.7275, 9.7127"
148,AAA00353656109378739,3361,2612,2775,0,11858,4128,83931,457275,97127,299,3818,9820,36,0,0,86,28,86,0,38,2/6/22 13.04,38,"45.7275, 9.7127"
